Job Title,Company,Location,Salary,Posting Date,Extract Date,Summary,Job Url
Junior Analyst,Convosight,"New Delhi, Delhi",,,13-03-2022,"['Identifying data inconsistencies, resolving issues, and ensuring the integrity of our data.', 'You would be dawning multiple hats as a junior analyst working…']",https://in.indeed.com/rc/clk?jk=0fb175b3ce467a44&fccid=85863bd796001301&vjs=3
Research Analyst Intern,Ecultify Advertising LLP,"Mumbai, Maharashtra","₹5,000 a month",,13-03-2022,"['Handle the collection, standardization, and validation of data from various documents.', 'Process data (financial or non-financial) for our YouTube channels and…']",https://in.indeed.com/company/Ecultify-Advertising-LLP/jobs/Research-Analyst-Intern-e22424f3b3b80744?fccid=c5fddb13575b7d99&vjs=3
Financial Data Analyst,Moody's,"Bengaluru, Karnataka",,,13-03-2022,"[""Regularly interact with Moody's ratings analysts regarding financial and operational data needed for analysis and publications.""]",https://in.indeed.com/rc/clk?jk=2a1a8e235741a78c&fccid=28eefc5b86560831&vjs=3
Internship - Data Analyst / .Net,INKEY,"Surat, Gujarat",,,13-03-2022,"['A natural communicator who can explain esoteric technical concepts in clear, plain English (both written and verbal).', 'Coding - both frontend as well as backend.']",https://in.indeed.com/rc/clk?jk=fc8ab15e07b96944&fccid=9cbfe1daa7387921&vjs=3
,Moody's,"Gurgaon, Haryana",,,13-03-2022,['Able to identify and research issues and/or discrepancies with data and/or requests for follow up with the business or analyst.'],https://in.indeed.com/rc/clk?jk=7c342ba262ac3b58&fccid=1d0c9a70e32e0c07&vjs=3
Marketing Analyst Internship,Crypto Mize,"Delhi, Delhi",,,13-03-2022,"['Conduct competitive research and analyze benchmarking data.', 'Deep knowledge of data warehousing, and mining.', 'Adequate knowledge of data collection methods (polls…']",https://in.indeed.com/rc/clk?jk=05279810bef206c8&fccid=bdad58a8df3ba8a4&vjs=3
DataOps Consulting Internship (6 months),Atlan,India,,,13-03-2022,"['Be the face of Atlan, helping deliver a stellar customer experience to data teams and data leaders.', 'Atlan makes it easier for diverse data users – business…']",https://in.indeed.com/rc/clk?jk=37e30f0ed4b8c1b7&fccid=5780b449d988d84f&vjs=3
Business Analyst Intern,Iotech Designs Private Limited,"Noida, Uttar Pradesh","₹15,000 a month",,13-03-2022,"['Must be very good at market research, Retail data collection, and generation of ideas.', 'To perform market research in retail and come up with innovative ideas…']",https://in.indeed.com/company/Iotech-Designs-Private-Limited/jobs/Business-Analyst-Intern-b86dc66a1b8f4cce?fccid=15cd8390bd0fdd7b&vjs=3
Senior Data Processing Analyst-RE,NielsenIQ,"Chennai, Tamil Nadu",,,13-03-2022,"['Your role will be working closely with the US Data Transformation team on sourcing machine learning models, assisting with the design of data science solutions…']",https://in.indeed.com/rc/clk?jk=2fd687565e70840c&fccid=7cb2f2a8d7f35bee&vjs=3
Market Data Analyst - 5138,ION,"Gurgaon, Haryana",,,13-03-2022,['The Market Data Analyst is responsible for ensuring that Reval data is compliant with its market data vendors (primary and sub-vendors).'],https://in.indeed.com/rc/clk?jk=495138bdae1e5722&fccid=363d27976f5fa667&vjs=3
,Kendra Labs,"Temporarily Remote in Delhi, Delhi","₹45,000 - ₹1,00,000 a month",,13-03-2022,"[""Web Technologies together with programming in 'big data' languages."", 'We are searching for individuals who have experience in architecting and building full stack…']",https://in.indeed.com/company/Kendra-Labs/jobs/Cloud-Devop-Engineer-Software-Engineer-5a113b4652b9dc79?fccid=47a6faee2e7feda3&vjs=3
Site Visit Internship,Biltrax Construction Data,"Gurgaon, Haryana+1 location",,,13-03-2022,"['We enable Sales, Marketing & Business Development Teams of Construction Material Manufacturers, Distributors, Turnkey & Trade Contractors, Design, Engineering &…']",https://in.indeed.com/company/Biltrax/jobs/Site-Visit-Internship-a31cfb5ab4f586b1?fccid=49847436d484f205&vjs=3
,Futureveal,"Pune, Maharashtra","₹4,000 - ₹6,000 a month",,13-03-2022,"['Verify that all the data collected is correctly entered and in the correct field.', 'Excellent oral and written communication is a must.']",https://in.indeed.com/company/Futureveal/jobs/Research-Analyst-7d641e305a83cea7?fccid=9749bf71092fee98&vjs=3
Customer Happiness Internship (6 months),Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=7755af9d406bcbba&fccid=5780b449d988d84f&vjs=3
Data Analyst Intern,Perceptive Analytics,"Hyderabad, Telangana",,,13-03-2022,"['This will also create certain artifacts (Articles) that can work as a proof of expertise in this particular area.', '20000 (IITs) if you work full time.']",https://in.indeed.com/rc/clk?jk=15098acc7588649d&fccid=210726a08f3619d6&vjs=3
Analyst - Knowledge Services,Sattva,Remote,,,13-03-2022,['A candidate who would be available for a full time analyst position after internship based on mutual agreement in terms of fitment and performance.'],https://in.indeed.com/rc/clk?jk=bda7470a873f5c2e&fccid=6dbc2d7ff3d50879&vjs=3
,ZM Financial Systems,"Gurgaon, Haryana",,,13-03-2022,['Able to identify and research issues and/or discrepancies with data and/or requests for follow up with the business or analyst.'],https://in.indeed.com/rc/clk?jk=a6cf36f35204561c&fccid=7e9f8411cc2b1ce8&vjs=3
Backend Engineering Internship (6 months),Atlan,India,,,13-03-2022,"['Atlan makes it easier for diverse data users – business users, product managers, analysts, and engineers – to collaborate effectively.']",https://in.indeed.com/rc/clk?jk=93019fb78dc87a82&fccid=5780b449d988d84f&vjs=3
